title,type_word,language,lemma,number,case,gender,tense,analysis_morphemic,meaning,checklevel,revision_id,revision_timestamp,url
esiumninu,proper noun,Raetic,esimn*,singular,nominative,masculine,,esiumni{{m|-nu}},'son of Esimne/Esumne',0,16959,2016-12-13T14:56:33Z,https://tir.univie.ac.at/wiki/esiumninu
esiunne,proper noun,Raetic,esiunne-,singular,nominative,masculine,,esiunne,'Esimne / Esumne',0,12439,2015-06-29T14:16:32Z,https://tir.univie.ac.at/wiki/esiunne
esminu,proper noun,Raetic,esimn-,singular,nominative,,,esim(n){{m|-nu}},'son/daughter of Esimne',1,17133,2017-02-21T16:59:01Z,https://tir.univie.ac.at/wiki/esminu
esumnesi,proper noun,Raetic,esumne-,singular,pertinentive,masculine,,esumne{{m|-si}},'of/by Esumne',2,10293,2015-01-08T15:34:45Z,https://tir.univie.ac.at/wiki/esumnesi
esθua,proper noun,Raetic,esθu*,,,,,,'Esθu(a)' (?),1,17098,2017-02-11T16:20:30Z,https://tir.univie.ac.at/wiki/es%CE%B8ua
esθuale,proper noun,Raetic,esθu*,,pertinentive,,,esθu-a{{m|-le}},'of/by Esθu(a)*' (?),1,17099,2017-02-11T16:22:43Z,https://tir.univie.ac.at/wiki/es%CE%B8uale
eθunnuale,proper noun,Raetic,eθu-,singular,pertinentive,masculine,,eθu(n){{m|-nu}}{{m|-le|-ale}},unknown,5,17071,2017-02-11T15:58:23Z,https://tir.univie.ac.at/wiki/e%CE%B8unnuale
helanu,proper noun,Raetic,hela*,singular,nominative,,,hela{{m|-nu}},'son of Hela*',0,14751,2016-01-15T14:46:06Z,https://tir.univie.ac.at/wiki/helanu
iai,unknown,unknown,,,,,,,unknown,0,6664,2014-03-11T14:21:50Z,https://tir.univie.ac.at/wiki/iai
iθθi,unknown,unknown,,,,,,,unknown,0,14117,2015-11-09T12:03:01Z,https://tir.univie.ac.at/wiki/i%CE%B8%CE%B8i
kaial,unknown,Raetic,,,,,,,unknown,1,17120,2017-02-12T23:10:19Z,https://tir.univie.ac.at/wiki/kaial
kalitis,unknown,Raetic,,,,,,,unknown,0,17059,2017-02-11T15:19:26Z,https://tir.univie.ac.at/wiki/kalitis
kaniśnu,proper noun,Raetic,kaniś-,singular,nominative,masculine,,kaniś{{m|-nu}},son of Kaniś-,0,8305,2014-07-15T16:22:08Z,https://tir.univie.ac.at/wiki/kani%C5%9Bnu
kapaśunu,proper noun,Raetic,kapaśu*,singular,nominative,,,kapaśu{{m|-nu}},'son of Kapaśu',0,12937,2015-07-16T14:43:11Z,https://tir.univie.ac.at/wiki/kapa%C5%9Bunu
kara,proper noun,Raetic,kara*,singular,nominative,feminine,,kara,'Kara',0,14402,2015-12-03T19:51:54Z,https://tir.univie.ac.at/wiki/kara
karataśna,proper noun,Raetic,karapaś-,singular,nominative,,,karapaś{{m|-na}},'son/daughter of Karapaś*',1,14691,2016-01-12T13:20:23Z,https://tir.univie.ac.at/wiki/karata%C5%9Bna
kari,proper noun,Raetic,kari*,singular,nominative,,,,'Kari',0,14401,2015-12-03T19:51:19Z,https://tir.univie.ac.at/wiki/kari
kastriesi,proper noun,Raetic,kastrie-,singular,pertinentive,masculine,,kastrie{{m|-si}},unknown,1,8307,2014-07-15T16:24:36Z,https://tir.univie.ac.at/wiki/kastriesi
kaszrinuale,proper noun,Raetic,kastrie-,singular,pertinentive,masculine,,kaszri{{m|-nu}}{{m|-le|-ale}},unknown,5,17072,2017-02-11T15:58:43Z,https://tir.univie.ac.at/wiki/kaszrinuale
kativates,unknown,Raetic,,,,,,,unknown,0,17058,2017-02-11T15:19:13Z,https://tir.univie.ac.at/wiki/kativates
kaθiave,proper noun,Raetic,kaθiave-,singular,nominative,,,kaθiave,'Kaθiave',1,15081,2016-02-09T22:33:21Z,https://tir.univie.ac.at/wiki/ka%CE%B8iave
ker,unknown,Raetic,,,,,,,unknown,0,8338,2014-07-17T17:23:33Z,https://tir.univie.ac.at/wiki/ker
ketanuvale,proper noun,Raetic,kepa*,singular,pertinentive,,,keta{{m|-nu}}{{m|-le|-ale}},'of/by the son of Keta*',0,17094,2017-02-11T16:17:15Z,https://tir.univie.ac.at/wiki/ketanuvale
kleimunθeis,noun,Raetic,kleimun-,singular,ablative,,,kleimun{{w|-θeis}},'from/of/by it/him which/who is ?',5,17121,2017-02-13T11:30:19Z,https://tir.univie.ac.at/wiki/kleimun%CE%B8eis
klevie,proper noun,Raetic,klevie*,singular,nominative,,,klevie,'Klevie',0,17153,2018-01-10T16:14:54Z,https://tir.univie.ac.at/wiki/klevie
