title,reading,reading_raw,language,meaning,object,type_object,material,date,sortdate,date_derivation,site,field_name,location,position,direction,script,alphabet,line_number,letter_number_min,letter_number_max,sign_number,craftsmanship,condition,sigla_tm,sigla_pid,sigla_mancini,sigla_mlr,source,object_source,checklevel,object_checklevel,problem,revision_id,revision_timestamp,object_revision_id,object_revision_timestamp,url,object_url
PU-8,ṃṿạḳ[,unknown!ṃṿạḳ[,unknown,unknown,PU-8 potsherd,vessel,pottery,5th–4th centuries BC,-400,archaeological context,St. Lorenzen / San Lorenzo di Sebato,"Steger,",Museum Mansio Sebatum,"outside, bottom",dextroverse,unknown,,1,,,4,incised,"damaged, fragmentary",218550,,SLO-7,132,"Schumacher 2004: 188, 213","Marinetti 1992: 696 [No. 4], fig. 1.4; Constantini 2002: 41",0,5,,17922,2021-11-08T19:22:23Z,16863,2016-11-15T11:19:55Z,https://tir.univie.ac.at/wiki/PU-8,https://tir.univie.ac.at/wiki/PU-8_potsherd
PU-9,v?[,unknown!v?[,unknown,unknown,PU-9 potsherd,vessel,pottery,5th–4th centuries BC,-400,archaeological context,St. Lorenzen / San Lorenzo di Sebato,"Steger,",Museum Mansio Sebatum,outside,dextroverse,unknown,,1,,,2,incised,"damaged, fragmentary",218551,,SLO-8,133,"Schumacher 2004: 188, 213","Marinetti 1992: 696–697 [No. 5], fig. 1.5; Constantini 2002: 41",0,5,,17923,2021-11-08T19:22:33Z,16861,2016-11-15T11:19:26Z,https://tir.univie.ac.at/wiki/PU-9,https://tir.univie.ac.at/wiki/PU-9_potsherd
RN-1,laseke/maieχe,laseke / maieχe,unknown,unknown,RN-1 slab,slab,porphyry,,,cultural context,Klobenstein / Collalbo,Piperbühel,Stadtmuseum Bozen / Museo Civico di Bolzano,upper area,sinistroverse,North Italic script,Sanzeno alphabet,2,12,,,engraved,complete,218541,189,BZ-19,40,Schumacher 2004: 184,Schumacher 2004: 184,1,5,Verweis Hartmann,17926,2021-11-08T19:23:59Z,13454,2015-09-10T12:56:29Z,https://tir.univie.ac.at/wiki/RN-1,https://tir.univie.ac.at/wiki/RN-1_slab
RN-2,kuhilina:un:a:a:sṇa:er?(?):/aχu?(?)le: :ii:iiii:i:i:/siara:??[:alv:vịṣị:isθ̣iu:ṣ?aịχ:,unknown!kuhilina : unknown!un : unknown!a : unknown!a : unknown!sṇa : unknown!er?(?) : / unknown!aχu?(?)le : space : unknown!ii : unknown!iiii : unknown!i : unknown!i : / unknown!siara : unknown!??[ : unknown!alv : unknown!vịṣị : unknown!isθ̣iu : unknown!ṣ?aịχ :,unknown,unknown,RN-2 rod,unidentifiable,wood,,,,Klobenstein / Collalbo,Piperbühel,Stadtmuseum Bozen / Museo Civico di Bolzano,right-hand side,sinistroverse,North Italic script,Sanzeno alphabet,0,54,,,engraved,"complete, damaged",218542,189 bis,BZ-20,39,Schumacher 2004: 184 f.,"Ghislanzoni 1928: 308–310, fig. 11, fig. 12, fig. 13; Mayr 1958d: 151-153",3,5,"seklit durchlesen und einarbeiten, Abgleich m. Gugsis Zeichnung, Interpretation?",17927,2021-11-08T19:24:10Z,13455,2015-09-10T12:59:09Z,https://tir.univie.ac.at/wiki/RN-2,https://tir.univie.ac.at/wiki/RN-2_rod
RN-3,θ[ṛ,θr!θ[ṛ,unknown,unknown,RN-3 potsherd,vessel,pottery,,,,Klobenstein / Collalbo,"Piperbühel,",Stadtmuseum Bozen / Museo Civico di Bolzano,"foot, outside",ambiguous,unknown,,1,2,,,incised,damaged,653566,,,,,Mayr 1957b,0,5,,17928,2021-11-08T19:24:26Z,13456,2015-09-10T13:04:02Z,https://tir.univie.ac.at/wiki/RN-3,https://tir.univie.ac.at/wiki/RN-3_potsherd
SI-1,φs[,unknown!φs[,unknown,unknown,SI-1 potsherd,bowl,pottery,3rd–2nd centuries BC,-200,typology,Seis am Schlern / Siusi allo Sciliar,Rungger Egg,Amt für Bodendenkmäler Bozen / Ufficio Beni archeologici Bolzano,"inside, rim",ambiguous,unknown,,1,2,,,engraved,fragmentary,653567,,,,,"Gleirscher et al. 2002: 162, pl. 77.2",0,0,,17929,2021-11-08T19:24:44Z,13445,2015-09-10T11:41:53Z,https://tir.univie.ac.at/wiki/SI-1,https://tir.univie.ac.at/wiki/SI-1_potsherd
SI-2,siθi[,unknown!siθi[,unknown,unknown,SI-2 potsherd,bowl,pottery,3rd–2nd centuries BC,-200,typology,Seis am Schlern / Siusi allo Sciliar,"Rungger Egg,",Amt für Bodendenkmäler Bozen / Ufficio Beni archeologici Bolzano,"bottom, outside",ambiguous,unknown,,1,,,4,incised,fragmentary,653568,,,,,"Gleirscher et al. 2002: 163, pl. 83.17",0,0,,17930,2021-11-08T19:25:02Z,13446,2015-09-10T11:49:35Z,https://tir.univie.ac.at/wiki/SI-2,https://tir.univie.ac.at/wiki/SI-2_potsherd
SL-1,terisna,terisna,Raetic,unknown,SL-1 helmet,helmet,bronze,second half of the 5<sup>th</sup> century BC,-425,typology,Vače,,Kunsthistorisches Museum Wien – Antikensammlung,"front, bottom, outside, medial",sinistroverse,North Italic script,Magrè alphabet,1,7,,,embossed,complete,653569,,,285,Schumacher 2004: 329,,0,0,,17931,2021-11-08T19:25:42Z,17669,2020-04-16T22:27:04Z,https://tir.univie.ac.at/wiki/SL-1,https://tir.univie.ac.at/wiki/SL-1_helmet
SL-2.1,siraku:̣þurti,siraku punctuation!:̣ þurti,Raetic,unknown,SL-2 helmet,helmet,bronze,second half of 5<sup>th</sup>–beginning of 4<sup>th</sup> century BC,-410,typology,Ženjak,Obrat,Kunsthistorisches Museum Wien – Antikensammlung,"front, bottom, outside",sinistroverse,North Italic script,Sanzeno alphabet,1,11,,11,engraved,complete,653570,1* bis (a),,,Schumacher 2004: 330,,0,0,,17932,2021-11-08T19:25:52Z,17755,2020-05-20T21:31:40Z,https://tir.univie.ac.at/wiki/SL-2.1,https://tir.univie.ac.at/wiki/SL-2_helmet
SL-2.2,:ar?(?)eisv?,: unknown!ar?(?)eisv?!ar?(?)eisṿ?,unknown,unknown,SL-2 helmet,helmet,bronze,second half of 5<sup>th</sup>–beginning of 4<sup>th</sup> century BC,-410,typology,Ženjak,Obrat,Kunsthistorisches Museum Wien – Antikensammlung,"front, bottom, outside",sinistroverse,North Italic script,,1,7,10,8,engraved,complete,653571,1* bis (a),,,Schumacher 2004: 330,,1,0,,17933,2021-11-08T19:26:07Z,17755,2020-05-20T21:31:40Z,https://tir.univie.ac.at/wiki/SL-2.2,https://tir.univie.ac.at/wiki/SL-2_helmet
SL-2.4,kerut,kerut,unknown,unknown,SL-2 helmet,helmet,bronze,second half of 5<sup>th</sup>–beginning of 4<sup>th</sup> century BC,-410,typology,Ženjak,Obrat,Kunsthistorisches Museum Wien – Antikensammlung,"front, bottom, outside",ambiguous,North Italic script,,1,5,,,engraved,complete,653573,,,,Schumacher 2004: 330 f.,,0,0,,17934,2021-11-08T19:26:50Z,17755,2020-05-20T21:31:40Z,https://tir.univie.ac.at/wiki/SL-2.4,https://tir.univie.ac.at/wiki/SL-2_helmet
SR-1,?]nsu·mnaviθahur·̣/ị]ṣkesaχviliṣke,)-na!?]nsu·mna unknown!viθahur·̣ / unknown!ị]ṣkes aχvil unknown!iṣke,Raetic,unknown,SR-1 antler,unidentifiable,antler,3rd century BC,-250,archaeological context,Serso,Montesei di Serso,Museo delle Scienze di Trento,front,unknown,North Italic script,Magrè alphabet,2,26,28,28,engraved,"damaged, incomplete",218459,,SE-6,91,"Schumacher 2004: 156, 337","Pellegrini & Sebesta 1965: 3–8, 8 (No. 1), fig. 3; Dal Rì 1987: 176 (No. 725a); Nothdurfter 2002: 1149 (list 3, No. 7)",4,5,"Verweis Mayr, Schriftrichtungs-Option beides, orientation: Ausrichtung antler, besser i als Hauptlesung",17935,2021-11-08T19:27:48Z,13504,2015-09-13T17:14:08Z,https://tir.univie.ac.at/wiki/SR-1,https://tir.univie.ac.at/wiki/SR-1_antler
SR-10,???????]ịal·,unknown!???????]ịal·,unknown,unknown,SR-10 antler,unidentifiable,antler,3rd century BC,-250,archaeological context,Serso,Montesei di Serso,Museo delle Scienze di Trento,front,sinistroverse,North Italic script,Magrè alphabet,1,9,,10,engraved,damaged,218468,,SE-10,,Schumacher 2004: 159,"Pellegrini & Sebesta 1965: 3–8, 15 (No. 10) with fig.; Nothdurfter 2002: 1150 (list 3, No. 7)",2,5,"orientation, Endung: etr. Genitiv..? (Pellegrini)",17943,2021-11-08T19:29:42Z,13499,2015-09-11T13:32:17Z,https://tir.univie.ac.at/wiki/SR-10,https://tir.univie.ac.at/wiki/SR-10_antler
SR-11,iaiu,unknown!iaiu,unknown,unknown,SR-11 stone,stone,porphyry,3rd century BC,-250,archaeological context,Serso,Montesei di Serso,Museo delle Scienze di Trento,front,ambiguous,unknown,,1,,,4,engraved,complete,218469,,SE-13,83,Schumacher 2004: 159,"Pellegrini & Sebesta 1965: 3–8, 15 (No. 11)",0,5,,17944,2021-11-08T19:29:55Z,13500,2015-09-11T13:33:19Z,https://tir.univie.ac.at/wiki/SR-11,https://tir.univie.ac.at/wiki/SR-11_stone
SR-12,?]χlị[,unknown!?]χlị[,unknown,unknown,SR-12 antler,unidentifiable,antler,3rd century,-250,archaeological context,Serso,Montesei di Serso,Museo delle Scienze di Trento,unknown,sinistroverse,North Italic script,,1,4,,,engraved,unknown,218470,,SE-12,,Schumacher 2004: 159,"Pellegrini & Sebesta 1965: 3–8, 16 (No. 12) with fig.; Nothdurfter 2002: 1150 (list 3, No. 7)",1,0,Soprintendenza?,17945,2021-11-08T19:30:26Z,9566,2014-11-11T22:30:34Z,https://tir.univie.ac.at/wiki/SR-12,https://tir.univie.ac.at/wiki/SR-12_antler
SR-13,]ṇas,unknown!]ṇas,unknown,unknown,SR-13 antler,unidentifiable,antler,3rd century,-250,archaeological context,Serso,Montesei di Serso,Museo delle Scienze di Trento,front,ambiguous,North Italic script,,1,3,,,engraved,"damaged, fragmentary",218471,,SE-11,,Schumacher 2004: 159,"Pellegrini & Sebesta 1965: 3–8, 16 (No. 13) with fig.; Nothdurfter 2002: 1150 (list 3, No. 7)",2,5,"orientation, duch dextrovers eintragen?",17946,2021-11-08T19:30:36Z,13501,2015-09-11T13:35:09Z,https://tir.univie.ac.at/wiki/SR-13,https://tir.univie.ac.at/wiki/SR-13_antler
SR-14,?,?,none,unknown,SR-14 potsherd,bowl,pottery,3rd century,-250,archaeological context,Serso,Montesei di Serso,Museo delle Scienze di Trento,"outside, side",unknown,none,,0,,,,incised,unknown,218472,,SE-14,,Schumacher 2004: 159,"Pellegrini & Sebesta 1965: 3–8, 16 (No. 14)",1,0,Soprintendenza?,17947,2021-11-08T19:30:47Z,9567,2014-11-11T22:31:18Z,https://tir.univie.ac.at/wiki/SR-14,https://tir.univie.ac.at/wiki/SR-14_potsherd
SR-15,?,?,none,unknown,SR-15 bowl,bowl,pottery,5th–1st centuries BC,-250,archaeological context,Serso,Montesei di Serso,Museo delle Scienze di Trento,"bottom, shoulder",unknown,none,,0,,,,incised,damaged,218473,,SE-15,,Schumacher 2004: 160,"Perini 1965b: 155 (No. B 1), fig. 6",0,5,,17948,2021-11-08T19:30:59Z,13502,2015-09-11T13:37:07Z,https://tir.univie.ac.at/wiki/SR-15,https://tir.univie.ac.at/wiki/SR-15_bowl
