title,type_object,material,date,sortdate,date_derivation,site,field_name,location,inventory_number,dimension,condition,source,checklevel,revision_id,revision_timestamp,url
VN-6 bone,unidentifiable,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,Ganglegg,Vintschger Museum / Museo della Val Venosta,,"length: 11.1 cm, width: 1.9 cm, height: 2 cm",fragmentary,"Gamper & Steiner 1999: 48–51, fig. 24.10",5,13586,2015-09-18T11:35:21Z,https://tir.univie.ac.at/wiki/VN-6_bone
VN-7 bone,handle,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,Ganglegg,Vintschger Museum / Museo della Val Venosta,unknown,"length: 3 cm, width: 1 cm, height: 9 mm","fragmentary, restored, damaged","Lunz 1991c: 14–15; Schumacher 1994: 313–314 [No. 1.4], fig. 4",0,15254,2016-03-03T10:35:56Z,https://tir.univie.ac.at/wiki/VN-7_bone
VN-8 bone,bone,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,Ganglegg,Vintschger Museum / Museo della Val Venosta,88–212,"length: 13.2 cm, width: 2.5 cm, height: 1.8 cm","complete, damaged","Gamper & Steiner 1999: 48–51, fig. 24.9; Schumacher 1994b: 296–297, fig. 1; Gamper 2006: 142–143, fig. 76.2",0,16719,2016-05-23T05:45:02Z,https://tir.univie.ac.at/wiki/VN-8_bone
VN-9 bone point,bone,bone,3rd–1st centuries BC,-150,archaeological context,Schluderns / Sluderno,Ganglegg,Vintschger Museum / Museo della Val Venosta,G 2011.41,"length: 10.5 cm, width: 1.3 cm, height: 7 mm",damaged,"Gamper & Steiner 1999: 48–51, fig. 24.3; Schumacher 1994b: 297–298, fig. 2; Gamper 2006: 144–146, fig. 77.24",0,15504,2016-03-30T19:58:54Z,https://tir.univie.ac.at/wiki/VN-9_bone_point
VR-1 antler,votive offering,antler,5th–4th centuries BC,-450,"archaeological context, cultural context",San Briccio,,Museo di Storia Naturale Verona,5028,"length: 23 cm, width in the area of the perforation: 9.5 cm, thickness max.: 1.9 cm, thickness min.: 3.2 cm","incomplete, damaged","Cipolla 1884: 4–13; Mayr 1958: 41 [No. I] with photo; Mancini & Prosdocimi 1976: 111–114, 119–121",0,15314,2016-03-04T21:05:32Z,https://tir.univie.ac.at/wiki/VR-1_antler
VR-10 bronze,bronze,bronze,end of the 2nd–beginning of the 1st centuries BC,-100,archaeological context,San Giorgio di Valpolicella,Casaletti,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,IG VR 65197,"length: 10.1 cm, width max.: 1.8 cm, width min.: 1.6 cm, thickness max.: 0.6 cm, thickness min.: 0.3 cm","incomplete, restored, damaged","Salzani 2003: 95–100; Marinetti 2003: 112 [No. 1], fig. 1.1; Marinetti 2004: 412–414 [No. 1], fig. 2.1",0,14971,2016-01-29T09:26:51Z,https://tir.univie.ac.at/wiki/VR-10_bronze
VR-11 bronze,bronze,bronze,end of the 2nd–beginning of the 1st centuries BC,-100,archaeological context,San Giorgio di Valpolicella,Casaletti,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,IG VR 65196,"length: 6.9 cm, width max.: 2.3 cm, width min.: 1.5 cm, thickness: 0.5 cm","incomplete, damaged","Salzani 2003: 95–100; Marinetti 2003: 112 [No. 2], fig. 1.2; Marinetti 2004: 414 [No. 2], fig. 2.2",0,14953,2016-01-28T10:19:02Z,https://tir.univie.ac.at/wiki/VR-11_bronze
VR-12 bone,unidentifiable,bone,end of the 2nd–beginning of the 1st centuries BC,-100,archaeological context,San Giorgio di Valpolicella,Casaletti,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,IG VR 65204,"length: 5.5 cm, thickness max.: 1.7 cm, thickness min.: 1.4 cm","incomplete, damaged","Salzani 2003: 95–100; Marinetti 2003: 112 [No. 3], fig. 1.3; Marinetti 2004: 414 [No. 3], fig. 2.3",0,14951,2016-01-28T08:29:59Z,https://tir.univie.ac.at/wiki/VR-12_bone
VR-13 bone,unidentifiable,bone,end of the 2nd–beginning of the 1st centuries BC,-100,archaeological context,San Giorgio di Valpolicella,Casaletti,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,IG VR 65200,"length: 6.6 cm, thickness (end) max.: 2 cm, thickness (end) min: 1.7 cm, thickness (centre): 1.3 cm",complete,"Salzani 2003: 95–100; Marinetti 2003: 114 [No. 4], fig. 1.4; Marinetti 2004: 414–415 [No. 4], fig. 2.4",0,14948,2016-01-28T08:09:48Z,https://tir.univie.ac.at/wiki/VR-13_bone
VR-14 bone,unidentifiable,bone,end of the 2nd–beginning of the 1st centuries BC,-100,archaeological context,San Giorgio di Valpolicella,Casaletti,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,IG VR 65198,"length: 8.3 cm, width max.: 2 cm, width min.: 1.3 cm, thickness: about 1 cm",complete,"Salzani 2003: 95–100; Marinetti 2003: 114 [No. 5], fig. 1.5; Marinetti 2004: 415 [No. 5], fig. 2.5",0,14945,2016-01-28T07:49:24Z,https://tir.univie.ac.at/wiki/VR-14_bone
VR-15 bone,unidentifiable,bone,end of the 2nd–beginning of the 1st centuries BC,-100,archaeological context,San Giorgio di Valpolicella,Casaletti,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,IG VR 65199,"length: 7 cm, width max.: 1.5 cm, width min.: 1.4 cm","complete, damaged","Salzani 2003: 95–100; Marinetti 2003: 114 [No. 6], fig. 1.6; Marinetti 2004: 415 [No. 6], fig. 2.6",0,14941,2016-01-27T16:03:28Z,https://tir.univie.ac.at/wiki/VR-15_bone
VR-16 bone,unidentifiable,bone,end of the 2nd–beginning of the 1st centuries BC,-100,archaeological context,San Giorgio di Valpolicella,Casaletti,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,IG VR 65201,"length: 7.9 cm, width max.: 1.5 cm, width min.: 1.4 cm","complete, damaged","Salzani 2003: 95–100; Marinetti 2003: 114 [No. 7], fig. 1.7; Marinetti 2004: 415 [No. 7], fig. 2.7",0,14942,2016-01-27T16:08:34Z,https://tir.univie.ac.at/wiki/VR-16_bone
VR-17 bone point,bone,bone,end of the 2nd–beginning of the 1st centuries BC,-100,archaeological context,San Giorgio di Valpolicella,Casaletti,Soprintendenza Archeologia del Veneto – Nucleo Operativo di Verona,IG VR 65205,"fragment 1: length: 5.4 cm, thickness: 0.6 cm; fragment 2: length: 4.3 cm, thickness max.: 0.6 cm, thickness min.: 0.3 cm; diameter perforation: ca. 0.5 cm","fragmentary, restored","Salzani 2003: 95–100; Marinetti 2003: 114 [No. 14], fig. 2.14; Marinetti 2004: 415–416 [No. 14], fig. 3.14",0,14920,2016-01-27T10:54:22Z,https://tir.univie.ac.at/wiki/VR-17_bone_point
VR-2 antler,votive offering,antler,5th–4th centuries BC,-450,"archaeological context, cultural context",San Briccio,,Museo di Storia Naturale Verona,5027,"length: 13.3 cm, width: 3.2 cm, thickness: 1.7 cm","incomplete, damaged","Cipolla 1884: 4–13; Mayr 1958: 41–42 [No. II] with photo; Mancini & Prosdocimi 1976: 111–114, 119–121",0,15315,2016-03-04T21:06:48Z,https://tir.univie.ac.at/wiki/VR-2_antler
