Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
TM 145724;CIE 08618;ET1 La S.0005;ET2 Cr S.0008;;;;;;;;CII 2513 ter;;;;;;
TM 145727;CIE 08619;ET1 La S.0008;ET2 La S.0008;;;;;;;;CII 2726 bis;;;;;CII Rix & Meiser;
TM 145723;CIE 08620;ET1 La S.0004;ET2 La S.0004;;;;;;;;;CII Suppl. III.0393;;;;;
TM 145722;CIE 08621;ET1 La S.0003;ET2 La S.0003;;;;;;;;;CII Suppl. III.0394;;;;;
TM 145725;CIE 08622;ET1 La S.0006;ET2 La S.0006;;;;;;;;CII 2726 ter;;;;;CII Rix & Meiser;
TM 173952;CIE 08623;;ET2 La 2.0011;;;;;;;;;;;;;;
TM 173949;CIE 08624;;ET2 La 2.0008;;;;;;;;;;;;;;
TM 173951;CIE 08625;;ET2 La 2.0010;;;;;;;;;;;;;;
;CIE 08626;;;;;;;;;;;;;;Two characters.;;
;CIE 08627;;;;;;;;;;;;;;Two characters.;;
TM 145696;CIE 08628;ET1 Cm 2.0085;ET2 Cm 2.0085;;;;;;;;;;;;;;
;CIE 08629;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08630;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08631;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08632;;;;;;;;;;;;;;Two characters.;;
;CIE 08633;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08634;;;;;;;;;;;;;;One character. ;;
;CIE 08635;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 145635;CIE 08636;ET1 Cm 2.0024;ET2 Cm 2.0024;;;;;;;;;;;;;;
TM 145636;CIE 08637;ET1 Cm 2.0025;ET2 Cm 2.0025;;;;;;;;;;;;;;
;CIE 08638;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08639;;;;;;;;;;;;;;Two characters.;;
;CIE 08640;;;;;;;;;;;;;;One character. ;;
TM 145637;CIE 08641;ET1 Cm 2.0026;ET2 Cm 2.0026;;;;;;;;;;;;;;
TM 145638;CIE 08642;ET1 Cm 2.0027;ET2 Cm 2.0027;;;;;;;;;;;;;;
TM 145639;CIE 08643;ET1 Cm 2.0028;ET2 Cm 2.0028;;;;;;;;;;;;;;
;CIE 08644;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08645;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08646;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08647;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08648;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08649;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08650;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08651;;;;;;;;;;;;;;One character. ;;
TM 145641;CIE 08652;ET1 Cm 2.0030;ET2 Cm 2.0030;;;;;;;;;;;;;;
;CIE 08653;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08654;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08655;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08656;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08657;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 145642;CIE 08658;ET1 Cm 2.0031;ET2 Cm 2.0031;;;;;;;;;;;;;;
TM 145623;CIE 08659;ET1 Cm 2.0012;ET2 Cm 2.0012;;;;;;;;;;;;;;
TM 145633;CIE 08660;ET1 Cm 2.0022;ET2 Cm 2.0022;;;;;;;;;;;;;;
TM 145634;CIE 08661;ET1 Cm 2.0023;ET2 Cm 2.0023;;;;;;;;;;;;;;
;CIE 08662;;;;;;;;;;;;;;One character. ;;
;CIE 08663;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08664;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08665;;;;;;;;;;;;;;One character. ;;
TM 145640;CIE 08666;ET1 Cm 2.0029;ET2 Cm 2.0029;;;;;;;;;;;;;;
;CIE 08667;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08668;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08669;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08670;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08671;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08672;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08673;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08674;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08675;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08676;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 145621;CIE 08677;ET1 Cm 2.0010;ET2 Cm 2.0010;;;;;;;;;;;;;;
TM 145622;CIE 08678;ET1 Cm 2.0011;ET2 Cm 2.0011;;;;;;;;;;;;;;
TM 145645;CIE 08679;ET1 Cm 2.0034;ET2 Cm 2.0034;;;;;;;;CII 2754;;;;;;
TM 145678;CIE 08680;ET1 Cm 2.0067;ET2 Cm 2.0067;;;;;;;;CII 2750;;;;;;
TM 145620;CIE 08681;ET1 Cm 2.0009;ET2 Cm 2.0009;TLE 0004;;;;;;;CII 2753 bis;;;;;;
TM 145338;CIE 08682;ET1 Cm 4.0001;ET2 Cm 4.0001;TLE 0002;;;;;;;;;;Multiple references. Common denominator: Trismegistos. CIE. (2);;;
TM 145338;CIE 08682;ET1 TC;ET2 TC;TLE 0002;;;;;;;;;;Multiple references. Common denominator: Trismegistos. CIE. (2);;;
TM 145649;CIE 08683;ET1 Cm 2.0038;ET2 Cm 2.0038;;;;;;;;;;CII App. 0935;;;;
TM 145656;CIE 08684;ET1 Cm 2.0045;ET2 Cm 2.0045;;;;;;;;;CII Suppl. I.0511;;;;;
TM 145650;CIE 08685;ET1 Cm 2.0039;ET2 Cm 2.0039;TLE 0010;;;;;;;;CII Suppl. I.0518;;;;;
TM 145651;CIE 08686 a;ET1 Cm 2.0040;ET2 Cm 2.0040;TLE 0006 a;;;;;;;;CII Suppl. I.0517;;Multiple references. Common denominator: Trismegistos. CII Suppl. (3);;;
TM 145651;CIE 08686 b;ET1 Cm 2.0041;ET2 Cm 2.0041;TLE 0006 b2;;;;;;;;CII Suppl. I.0517;;Multiple references. Common denominator: Trismegistos. CII Suppl [3]. CIE [2]. (3);;;
TM 145651;CIE 08686 b;ET1 Cm 2.0042;ET2 Cm 2.0042;TLE 0006 b1;;;;;;;;CII Suppl. I.0517;;Multiple references. Common denominator: Trismegistos. CII Suppl [3]. CIE [2]. (3);;;
TM 145655;CIE 08687;ET1 Cm 2.0044;ET2 Cm 2.0044;TLE 0007;;;;;;;;CII Suppl. I.0520;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. TLE. (2);;;
TM 145655;CIE 08687;ET1 Cm 2.0044;ET2 Cm 2.0044;TLE 0007;;;;;;;;CII Suppl. III.0416;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. TLE. (2);;;
TM 145647;CIE 08688;ET1 Cm 2.0036;ET2 Cm 2.0036;;;;;;;;;;CII App. 0933;;;;
TM 145648;CIE 08689;ET1 Cm 2.0037;ET2 Cm 2.0037;;;;;;;;;;CII App. 0932;;;;
TM 173892;CIE 08690;;ET2 Cm 2.0115;;;;;;;;;;;;;;
TM 145654;CIE 08691;ET1 Cm 2.0043;ET2 Cm 2.0043;;;;;;;;;;CII App. 0931;;;;
TM 145619;CIE 08692;ET1 Cm 2.0008;ET2 Cm 2.0008;;;;;;;;;;CII App. 0934;;;;
TM 145710;CIE 08693;ET1 Cm 0.0006;ET2 Cm 0.0006;;;;;;;;;;;;;;
TM 145681;CIE 08694;ET1 Cm 2.0070;ET2 Cm 2.0070;;;;;;;;;;;;;;
TM 145646;CIE 08695;ET1 Cm 2.0035;ET2 Cm 2.0035;TLE 0009;;;;;;;;CII Suppl. I.0520 bis;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. TLE. (2);;;
TM 145646;CIE 08695;ET1 Cm 2.0035;ET2 Cm 2.0035;TLE 0009;;;;;;;;CII Suppl. III.0417;;Multiple references. Common denominator: Trismegistos. CIE. ET1. ET2. TLE. (2);;;
TM 145643;CIE 08696;ET1 Cm 2.0032;ET2 Cm 2.0032;TLE 0005;;;;;;;CII 2754a;;;;;;
TM 173891;CIE 08697;;ET2 Cm 2.0114;;;;;;;;;;;;;;
TM 145644;CIE 08698;ET1 Cm 2.0033;ET2 Cm 2.0033;TLE 0003;;;;;;;;;;Multiple references. Common denominator: TLE. (2);;TLE Rix & Meiser;
TM 145706;CIE 08699;ET1 Cm 0.0002;ET2 Cm 0.0002;;;;;;;;CII 2754b;;;;;;
;CIE 08700;;;TLE 0003;;;;;;;;;;Multiple references. Common denominator: TLE. (2);"Considered a forgery (see CIE). Notes on ET2 Cm 2.0033 mention this inscription as “ex falso”; likely a mistake for “falsus ex genuino”. ET2 reference erroneously given in CIE-ET2 concordance (Meiser 2014: 132) as “ET2 Cm 2.0033”.";TLE Cristofani & Pandolfini Angeletti;
;CIE 08701;;;;;;;;;;;;;;Considered a forgery (see CIE).;;
;CIE 08702;;;;;;;;;;;;;;Considered a forgery based on CIE 08679 (see CIE).;;
TM 145614;CIE 08703;ET1 Cm 2.0003;ET2 Cm 2.0003;;;;;;;;;;;;;;
TM 145682;CIE 08704;ET1 Cm 2.0071;ET2 Cm 2.0071;;;;;;;;;;CII App. 0937;;;;
TM 145658;CIE 08705;ET1 Cm 2.0047;ET2 Cm 2.0047;;;;;;;;;;CII App. 0936;;CIE reference erroneously given in CII App.-CIE concordance in CIE as “CIE 8605”.;;v 1.0.1: added notes. 
TM 145624;CIE 08706;ET1 Cm 2.0013;ET2 Cm 2.0013;TLE 0012;;;;;;;;;;;;;
TM 145660;CIE 08707;ET1 Cm 2.0049;ET2 Cm 3.0004;TLE 0014;;;;;;;;;;;;;
TM 145665;CIE 08708;ET1 Cm 2.0054;ET2 Cm 2.0054;TLE 0016;;;;;;;;;;;;;
TM 145713;CIE 08709 a;ET1 Cm 2.0046;ET2 Cm 2.0046;TLE 0013;;;;;;;;;;Multiple references. Common denominator: Trismegistos. TLE [4]. CIE. ET2 [2]. (4);;;
TM 145713;CIE 08709 a;ET1 Cm X.0002;ET2 Cm 2.0046;TLE 0013;;;;;;;;;;Multiple references. Common denominator: Trismegistos. TLE [4]. CIE. ET2 [2]. ET1 [2]. (4);;;
TM 145713;CIE 08709 b;ET1 Cm 9.0003;ET2 Cm 9.0003;TLE 0013;;;;;;;;;;Multiple references. Common denominator: Trismegistos. TLE [4]. CIE. ET2 [2]. (4);;;
TM 145713;CIE 08709 b;ET1 Cm X.0002;ET2 Cm 9.0003;TLE 0013;;;;;;;;;;Multiple references. Common denominator: Trismegistos. TLE [4]. CIE. ET2 [2]. ET1 [2]. (4);;;
TM 145662;CIE 08710;ET1 Cm 2.0051;ET2 Cm 2.0051;;;;;;;;;;;;;;
TM 145666;CIE 08711;ET1 Cm 2.0055;ET2 Cm 2.0055;TLE 0017;;;;;;;;;;;;;
TM 145668;CIE 08712;ET1 Cm 2.0057;ET2 Cm 2.0057;;;;;;;;;;;;;;
TM 145664;CIE 08713;ET1 Cm 2.0053;ET2 Cm 2.0053;;;;;;;;;;;;;;
TM 145663;CIE 08714;ET1 Cm 2.0052;ET2 Cm 2.0052;TLE 0015;;;;;;;;;CII App. 0939;;;;
TM 145661;CIE 08715;ET1 Cm 2.0050;ET2 Cm 2.0050;TLE 0022;;;;;;;;;;;;;
TM 145659;CIE 08716;ET1 Cm 2.0048;ET2 Cm 2.0048;;;;;;;;;;;;;;
;CIE 08717;;;;;;;;;;;;;;One character. ;;
;CIE 08718;;;;;;;;;;;;;;One character. ;;
;CIE 08719;;;;;;;;;;;;;;One character. ;;
;CIE 08720;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08721;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08722;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08723;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08724;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 145667;CIE 08725;ET1 Cm 2.0056;ET2 Cm 2.0056;TLE 0011;;;;;;;;;CII App. 0938;;;;
TM 145712;CIE 08726;ET1 Cm 0.0008;ET2 Cm 0.0008;;;;;;;;;;;;Considered suspect (see ET2).;;
;CIE 08727;;;;;;;;;;;;;;One character. ;;
TM 145701;CIE 08728;ET1 Cm 9.0004;ET2 Cm 9.0004;;;;;;;;CII 2766;;;;;;
TM 145702;CIE 08729;ET1 Cm 9.0005;ET2 Cm 9.0005;;;;;;;;CII 2767;;;;;;
TM 145699;CIE 08730;ET1 Cm 9.0002;ET2 Cm 9.0002;;;;;;;;;;;;;;
TM 145714;CIE 08731 a;ET1 Cm 3.0001;ET2 Cm 3.0001;TLE 0020;;;;;;;CII 2777;;;Multiple references. Common denominator: Trismegistos. TLE. CII [4]. CIE. ET2 [2]. (4);;;
TM 145714;CIE 08731 a;ET1 Cm X.0003;ET2 Cm 3.0001;TLE 0020;;;;;;;CII 2777;;;Multiple references. Common denominator: Trismegistos. TLE. CII [4]. CIE. ET2 [2]. ET1 [2]. (4);;;
TM 145714;CIE 08731 b;ET1 Cm 9.0007;ET2 Cm 9.0007;TLE 0020;;;;;;;CII 2777;;;Multiple references. Common denominator: Trismegistos. TLE. CII [4]. CIE. ET2 [2]. (4);;;
TM 145714;CIE 08731 b;ET1 Cm X.0003;ET2 Cm 9.0007;TLE 0020;;;;;;;CII 2777;;;Multiple references. Common denominator: Trismegistos. TLE. CII [4]. CIE. ET2 [2]. ET1 [2]. (4);;;
TM 145675;CIE 08732;ET1 Cm 2.0064;ET2 Cm 2.0064;;;;;;;;CII 2770;;;;;;
TM 145669;CIE 08733;ET1 Cm 2.0058;ET2 Cm 2.0058;;;;;;;;CII 2773;;;;;;
TM 173936;CIE 08734;;ET2 Cm 0.0022;;;;;;;;;CII Suppl. I.0515;;;;;
TM 145709;CIE 08735;ET1 Cm 0.0005;ET2 Cm 0.0005;;;;;;;;;CII Suppl. I.0514;;;;;
TM 145674;CIE 08736;ET1 Cm 2.0063;ET2 Cm 2.0063;;;;;;;;CII 2779;;;;;;
TM 145673;CIE 08737;ET1 Cm 2.0062;ET2 Cm 2.0062;;;;;;;;CII 2782b;;;;;;v 1.0.2: corrected formatting of CII reference.
TM 145697;CIE 08738;ET1 Cm 2.0086;ET2 Cm 2.0086;;;;;;;;;;;;;;
TM 145670;CIE 08739;ET1 Cm 2.0059;ET2 Cm 2.0059;;;;;;;;;;;;;;
TM 145686;CIE 08740;ET1 Cm 2.0075;ET2 Cm 2.0075;TLE 0018;;;;;;;CII 2775;;;;;;
TM 145677;CIE 08741;ET1 Cm 2.0066;ET2 Cm 2.0066;;;;;;;;CII 2774;;;;;;
TM 145685;CIE 08742;ET1 Cm 2.0074;ET2 Cm 2.0074;;;;;;;;CII 2778;;;;;;
TM 145339;CIE 08743;ET1 Cm 6.0001;ET2 Cm 2.0131;;;;;;;;CII 2772;;;;"Erroneously not listed in conspectus editionum (Meiser 2014: 62-65); ET1/ET2 relationship given according to note column.";;
TM 145707;CIE 08744;ET1 Cm 0.0003;ET2 Cm 0.0003;;;;;;;;;CII Suppl. I.0513;;Multiple references. Common denominator: CII Suppl. (2);;;
TM 145708;CIE 08745;ET1 Cm 0.0004;ET2 Cm 0.0004;;;;;;;;;CII Suppl. I.0513;;Multiple references. Common denominator: CII Suppl. (2);;CII Suppl. Rix;
TM 145687;CIE 08746;ET1 Cm 2.0076;ET2 Cm 2.0076;;;;;;;;CII 2778 bis;;;;;;
TM 145632;CIE 08747;ET1 Cm 2.0021;ET2 Cm 2.0021;TLE 0021;;;;;;;;;;;;;
TM 145625;CIE 08748;ET1 Cm 2.0014;ET2 Cm 2.0014;;;;;;;;;;;;;;
TM 145626;CIE 08749;ET1 Cm 2.0015;ET2 Cm 2.0015;;;;;;;;;;;;;;
TM 145627;CIE 08750;ET1 Cm 2.0016;ET2 Cm 2.0016;;;;;;;;;;;;;;
;CIE 08751;;;;;;;;;;;;;;Two characters.;;
;CIE 08752;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08753;;;;;;;;;;;;;;Fragmentary.;;
;CIE 08754;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08755;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08756;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08757;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08758;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08759;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08760;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08761;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08762;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08763;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08764;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08765;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08766;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08767;;;;;;;;;;;;;;Two characters.;;
TM 173925;CIE 08768;;ET2 Cm 0.0011;;;;;;;;;;;;CIE reference erroneously given in ET2 as “CIE 8786”.;CIE Burman;
TM 173874;CIE 08769;;ET2 Cm 2.0094;;;;;;;;;;;;;;
;CIE 08770;;;;;;;;;;;;;;Two characters.;;
TM 173898;CIE 08771;;ET2 Cm 2.0122;;;;;;;;;;;;;;
TM 173942;CIE 08772;;ET2 Cm 0.0028;;;;;;;;;;;;;;
;CIE 08773;;;;;;;;;;;;;;Two characters.;;
TM 173905;CIE 08774;;ET2 Cm 2.0129;;;;;;;;;;;;;;
;CIE 08775;;;;;;;;;;;;;;Two characters.;;v 1.0.1: added notes. 
TM 145628;CIE 08776;ET1 Cm 2.0017;ET2 Cm 2.0017;;;;;;;;;;;;"Considered suspect (see ET1; ET2).";;
TM 145615;CIE 08777;ET1 Cm 2.0004;ET2 Cm 2.0004;;;;;;;;;;;;;;
TM 145616;CIE 08778;ET1 Cm 2.0005;ET2 Cm 2.0005;;;;;;;;;;;;;;
TM 153999;CIE 08779;ET1 OA 0.0002;ET2 Cm 0.0009;;;;;;;;;;;;;;
TM 153937;CIE 08780;ET1 OA 2.0020;ET2 Cm 2.0099;;;;;;;;;;;;;;
TM 173884;CIE 08781;;ET2 Cm 2.0105;;;;;;;;;;;;;;
TM 145703;CIE 08782;ET1 Cm 9.0006;ET2 Cm 9.0006;;;;;;;;;;;;;;
;CIE 08783;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08784;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08785;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08786;;;;;;;;;;;;;;Three characters.;;
;CIE 08787;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08788;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08789;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08790;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08791;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08792;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08793;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08794;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08795;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08796;;;;;;;;;;;;;;One character. ;;
;CIE 08797;;;;;;;;;;;;;;One character. ;;
;CIE 08798;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08799;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08800;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08801;;;;;;;;;;;;;;Two characters.;;
TM 173929;CIE 08802;;ET2 Cm 0.0015;;;;;;;;;;;;;;
TM 173930;CIE 08803;;ET2 Cm 0.0016;;;;;;;;;;;;;;
;CIE 08804;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08805;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 145691;CIE 08806;ET1 Cm 2.0080;ET2 Cm 2.0080;;;;;;;;;CII Suppl. III.0434;;;;;
;CIE 08807;;;;;;;;;;;;;;One character. ;;
;CIE 08808;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08809;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 145629;CIE 08810;ET1 Cm 2.0018;ET2 Cm 2.0018;;;;;;;;;;;;;;
TM 145684;CIE 08811;ET1 Cm 2.0073;ET2 Cm 2.0073;;;;;;;;;;;;;;
TM 145683;CIE 08812;ET1 Cm 2.0072;ET2 Cm 2.0072;;;;;;;;;;;;;;
;CIE 08813;;;;;;;;;;;;;;Three characters.;;
TM 173885;CIE 08814;;ET2 Cm 2.0106;;;;;;;;;;;;;;
;CIE 08815;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 173927;CIE 08816;;ET2 Cm 0.0013;;;;;;;;;;;;Three characters.;;
;CIE 08817;;;;;;;;;;;;;;Two characters.;;
;CIE 08818;;;;;;;;;;;;;;One character. ;;
;CIE 08819;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08820;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 173879;CIE 08821;;ET2 Cm 2.0100;;;;;;;;;;;;;;
TM 173886;CIE 08822;;ET2 Cm 2.0107;;;;;;;;;;;;;;
TM 173869;CIE 08823;;ET2 Cm 2.0088;;;;;;;;;;;Multiple references. Common denominator: CIE. (2);;;
TM 173938;CIE 08823;;ET2 Cm 0.0024;;;;;;;;;;;Multiple references. Common denominator: CIE. (2);;;
;CIE 08824;;;;;;;;;;;;;;One character. ;;
;CIE 08825;;;;;;;;;;;;;;Two characters.;;
;CIE 08826;;;;;;;;;;;;;;Two characters.;;
TM 145631;CIE 08827;ET1 Cm 2.0020;ET2 Cm 2.0020;;;;;;;;;;;;;;
TM 145692;CIE 08828;ET1 Cm 2.0081;ET2 Cm 2.0081;;;;;;;;;;;;;;
;CIE 08829;;;;;;;;;;;;;;Fragmentary.;;v 1.0.1: added notes. 
TM 173931;CIE 08830;;ET2 Cm 0.0017;;;;;;;;;;;;;;
;CIE 08831;;;;;;;;;;;;;;Two characters.;;v 1.0.1: added notes. 
TM 173937;CIE 08832;;ET2 Cm 0.0023;;;;;;;;;;;;;;
;CIE 08833;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 173875;CIE 08834 a;;ET2 Cm 9.0010;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. (2);;;
TM 173875;CIE 08834 b;;ET2 Cm 2.0095;;;;;;;;;;;Multiple references. Common denominator: Trismegistos. (2);;;
TM 173926;CIE 08835;;ET2 Cm 0.0012;;;;;;;;;;;;;;
;CIE 08836;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
TM 145693;CIE 08837;ET1 Cm 2.0082;ET2 Cm 2.0082;;;;;;;;;;;;;;
TM 145336;CIE 08838;ET1 Cm 2.0001;ET2 Cm 2.0001;;;;;;;;;;;;;;
TM 173872;CIE 08839;;ET2 Cm 2.0092;;;;;;;;;;;;;;
TM 145340;CIE 08840;ET1 Cm 9.0001;ET2 Cm 9.0001;;;;;;;;;;;;;;
TM 145618;CIE 08841;ET1 Cm 2.0007;ET2 Cm 2.0007;;;;;;;;;;;;;;
;CIE 08842;;;;;;;;;;;;;;Two characters.;;
TM 145630;CIE 08843;ET1 Cm 2.0019;ET2 Cm 2.0019;;;;;;;;;;;;;;
TM 145342;CIE 08844 a;ET1 Cm 2.0002;ET2 Cm 2.0002;;;;;;;;;;;Multiple references. Common denominator: Trismegistos [4]. CIE. ET2 [2]. (4);;;
TM 145342;CIE 08844 a;ET1 Cm X.0001;ET2 Cm 2.0002;;;;;;;;;;;Multiple references. Common denominator: Trismegistos [4]. CIE. ET2 [2]. ET1 [2]. (4);;;
TM 145342;CIE 08844 b;ET1 Cm 0.0001;ET2 Cm 0.0001;;;;;;;;;;;Multiple references. Common denominator: Trismegistos [4]. CIE. ET2 [2]. (4);;;
TM 145342;CIE 08844 b;ET1 Cm X.0001;ET2 Cm 0.0001;;;;;;;;;;;Multiple references. Common denominator: Trismegistos [4]. CIE. ET2 [2]. ET1 [2]. (4);;;
TM 173934;CIE 08845;;ET2 Cm 0.0020;;;;;;;;;;;;;;
TM 145679;CIE 08846;ET1 Cm 2.0068;ET2 Cm 2.0068;;;;;;;;;;;;;;
TM 145680;CIE 08847;ET1 Cm 2.0069;ET2 Cm 2.0069;;;;;;;;;;;;;;
TM 173897;CIE 08848;;ET2 Cm 2.0121;;;;;;;;;;;;;;
TM 173894;CIE 08849;;ET2 Cm 2.0118;;;;;;;;;;;;;;
TM 173895;CIE 08850;;ET2 Cm 2.0119;;;;;;;;;;;;;;
TM 173896;CIE 08851;;ET2 Cm 2.0120;;;;;;;;;;;;;;
TM 145689;CIE 08852;ET1 Cm 2.0078;ET2 Cm 2.0078;;;;;;;;;;;;;;
TM 145690;CIE 08853;ET1 Cm 2.0079;ET2 Cm 2.0079;;;;;;;;;;;;;;
TM 173903;CIE 08854;;ET2 Cm 2.0127;;;;;;;;;;;;;;
TM 145694;CIE 08855;ET1 Cm 2.0083;ET2 Cm 2.0083;;;;;;;;;;;;"Considered suspect (see ET1; ET2).";;
TM 145695;CIE 08856;ET1 Cm 2.0084;ET2 Cm 2.0084;;;;;;;;;;;;"Considered suspect (see ET1; ET2).";;
TM 145705;CIE 08857;ET1 Cm 9.0008;ET2 Cm 9.0008;;;;;;;;;;;;;;
TM 173880;CIE 08858;;ET2 Cm 2.0101;;;;;;;;;;;;;;
;CIE 08859;;;;;;;;;;;;;;Two characters.;;
;CIE 08860;;;;;;;;;;;;;;Sigla/markings that are not transcribed in CIE.;;
;CIE 08861;;;;;;;;;;;;;;Two characters.;;
;CIE 08862;;;;;;;;;;;;;;Two characters.;;
;CIE 08863;;;;;;;;;;;;;;Two characters.;;
;CIE 08864;;;;;;;;;;;;;;Two characters.;;
;CIE 08865;;;;;;;;;;;;;;Two characters.;;
TM 173870;CIE 08866;;ET2 Cm 2.0089;;;;;;;;;;;;;;
