Trismegistos;CIE;Rix. ET1;Meiser. ET2;TLE;Bakkum;CIL I;CIL I(2);CIL III;CIL VI;CIL XI;CII;CII Suppl.;CII App.;Multiple references?;Notes;Credits;Edit log
TM 148557;CIE 00099;ET1 Vt 1.0145;ET2 Vt 1.0145;TLE 0388;;;;;;;CII 0351;;;;;;
TM 148559;CIE 00100;ET1 Vt 1.0147;ET2 Vt 1.0147;;;;;;;;CII 0337 bis;;;;;;
TM 148561;CIE 00101;ET1 Vt 1.0149;ET2 Vt 1.0149;TLE 0382;;;;;;;CII 0352;;;;;;
TM 148556;CIE 00102;ET1 Vt 1.0144;ET2 Vt 1.0144;;;;;;;;CII 0340;;;;;;
TM 148563;CIE 00103;ET1 Vt 1.0151;ET2 Vt 1.0151;;;;;;;;CII 0364 bis l;;;;;;
TM 148565;CIE 00104;ET1 Vt 1.0153;ET2 Vt 1.0153;;;;;;;;CII 0254;;;;;;
TM 148566;CIE 00105 +add;ET1 Vt 1.0154;ET2 Vt 1.0154;TLE 0386;;;;;;;CII 0355;;;;;;
TM 148567;CIE 00106;ET1 Vt 1.0155;ET2 Vt 1.0155;;;;;;;;CII 0221;;;;;;
TM 148568;CIE 00107;ET1 Vt 1.0156;ET2 Vt 1.0156;;;;;;;;CII 0340 bis;;;;;;
TM 148569;CIE 00108;ET1 Vt 1.0157;ET2 Vt 1.0157;;;;;;;;CII 0341;;;;;;
TM 148572;CIE 00109;ET1 Vt 1.0160;ET2 Vt 1.0160;;;;;;;;CII 0343;;;;;;
TM 148571;CIE 00110;ET1 Vt 1.0159;ET2 Vt 1.0159;;;;;;;;CII 0245;;;;;;
TM 148574;CIE 00111;ET1 Vt 1.0162;ET2 Vt 1.0162;TLE 0383;;;;;;;CII 0350;;;;;;
TM 148435;CIE 00112 +add;ET1 Vt 1.0023;ET2 Vt 1.0023;;;;;;;;CII 0344 bis;;;;;;
TM 148436;CIE 00113;ET1 Vt 1.0024;ET2 Vt 1.0024;;;;;;;;CII 0345;;;;;;
TM 148437;CIE 00114;ET1 Vt 1.0025;ET2 Vt 1.0025;;;;;;;;CII 0273;;;;;;
TM 148438;CIE 00115;ET1 Vt 1.0026;ET2 Vt 1.0026;;;;;;;;CII 0325 ter;;;;;;
