word,freq,pred_class,prob_raw,prob_cal,p_FUNC,p_NAME-F,p_NAME-M,p_OTHER,p_THEO,p_VERB
kla,1,OTHER,0.970,0.653,0.000,0.004,0.026,0.970,0.000,0.000
klai,1,OTHER,0.982,0.653,0.000,0.016,0.002,0.982,0.000,0.000
kleimunteis,1,OTHER,0.995,0.653,0.000,0.000,0.005,0.995,0.000,0.000
klutias,1,NAME-M,0.992,0.653,0.000,0.008,0.992,0.000,0.000,0.000
knae,1,OTHER,0.997,0.653,0.000,0.000,0.003,0.997,0.000,0.000
kraikes,1,OTHER,0.912,0.653,0.000,0.000,0.088,0.912,0.000,0.000
kraiu,1,OTHER,0.989,0.653,0.000,0.000,0.010,0.989,0.000,0.000
krankru,1,OTHER,0.994,0.653,0.000,0.000,0.005,0.994,0.000,0.000
kruial,1,NAME-F,0.995,0.653,0.000,0.995,0.005,0.000,0.000,0.000
kurpu,1,OTHER,0.994,0.653,0.000,0.000,0.006,0.994,0.000,0.000
kuru,1,OTHER,0.990,0.653,0.000,0.000,0.010,0.990,0.000,0.000
kvsnailise,1,OTHER,0.988,0.653,0.000,0.005,0.006,0.988,0.000,0.000
lachth,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lachus,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lachuth,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lacth,1,NAME-M,0.978,0.653,0.000,0.003,0.978,0.019,0.000,0.000
laes,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lairis,1,NAME-M,0.959,0.653,0.000,0.001,0.959,0.040,0.000,0.000
laiveism,1,NAME-M,0.992,0.653,0.000,0.008,0.992,0.000,0.000,0.000
laivuzas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lakut,1,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
lala,1,NAME-M,0.914,0.653,0.000,0.038,0.914,0.048,0.000,0.000
lalas,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
lanenispupena,1,NAME-M,0.996,0.653,0.000,0.003,0.996,0.001,0.000,0.000
lanfesa,1,NAME-M,0.998,0.653,0.000,0.001,0.998,0.001,0.000,0.000
lanies,1,NAME-M,0.998,0.653,0.000,0.000,0.998,0.002,0.000,0.000
lanzivs,1,NAME-M,0.990,0.653,0.000,0.000,0.990,0.010,0.000,0.000
lapenas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lapivs,1,NAME-M,0.990,0.653,0.000,0.000,0.990,0.010,0.000,0.000
lapnas,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.001,0.000,0.000
larcaial,1,NAME-F,0.955,0.653,0.000,0.955,0.045,0.000,0.000,0.000
larcanial,1,NAME-F,0.984,0.653,0.000,0.984,0.016,0.000,0.000,0.000
larce,3,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larcesas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larci,1,NAME-M,0.981,0.653,0.000,0.019,0.981,0.000,0.000,0.000
larcivechane,1,NAME-M,0.983,0.653,0.000,0.000,0.983,0.017,0.000,0.000
larcna,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
larcnas,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larcnasa,2,NAME-M,0.994,0.653,0.000,0.006,0.994,0.000,0.000,0.000
larcnial,1,NAME-F,0.980,0.653,0.000,0.980,0.020,0.000,0.000,0.000
laricarcnalathal,1,NAME-F,0.925,0.653,0.000,0.925,0.075,0.000,0.000,0.000
larinal,1,NAME-F,0.980,0.653,0.000,0.980,0.020,0.000,0.000,0.000
larisalfavreniessuthina,1,NAME-M,0.995,0.653,0.000,0.000,0.995,0.005,0.000,0.000
larisasas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lariscusu,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larispeiana,1,NAME-M,0.974,0.653,0.000,0.024,0.974,0.003,0.000,0.000
larisus,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larn,1,NAME-M,0.997,0.653,0.000,0.003,0.997,0.000,0.000,0.000
larna,1,NAME-M,0.955,0.653,0.000,0.001,0.955,0.044,0.000,0.000
larneial,1,NAME-F,0.991,0.653,0.000,0.991,0.009,0.000,0.000,0.000
larntisecu,1,NAME-M,0.996,0.653,0.000,0.003,0.996,0.001,0.000,0.000
lartcani,1,NAME-F,0.903,0.653,0.000,0.903,0.095,0.002,0.000,0.000
larthaclnis,1,NAME-M,0.994,0.653,0.000,0.004,0.994,0.003,0.000,0.000
larthaial,1,NAME-F,0.975,0.653,0.000,0.975,0.025,0.000,0.000,0.000
larthals,1,NAME-M,0.939,0.653,0.000,0.061,0.939,0.000,0.000,0.000
larthas,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larthcalisnivanina,1,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
larthes,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larthiesa,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larthiias,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larthina,1,NAME-M,0.993,0.653,0.000,0.001,0.993,0.006,0.000,0.000
larthisas,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.001,0.000,0.000
larthiza,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larthizas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larthmenznas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larthpusta,1,NAME-M,0.951,0.653,0.000,0.002,0.951,0.047,0.000,0.000
larthru,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larthuriu,1,NAME-M,0.956,0.653,0.000,0.000,0.956,0.043,0.000,0.000
larthurus,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larthus,12,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larthusla,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
larthvelimnasaules,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larthvethura,1,NAME-M,0.967,0.653,0.000,0.031,0.967,0.002,0.000,0.000
lartiatusnui,1,NAME-F,0.960,0.653,0.000,0.960,0.033,0.007,0.000,0.000
lartpetraulesa,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lartth,1,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
larusi,1,NAME-M,0.993,0.653,0.000,0.007,0.993,0.000,0.000,0.000
laruth,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larvipiupelsipetrnal,1,NAME-F,0.941,0.653,0.000,0.941,0.059,0.000,0.000,0.000
larz,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larzas,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larzasilunis,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
larzlcazitas,1,NAME-M,0.998,0.653,0.000,0.000,0.998,0.002,0.000,0.000
larzu,1,NAME-M,0.931,0.653,0.000,0.002,0.931,0.067,0.000,0.000
lasasnas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lathialus,1,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
lathianeinia,1,NAME-F,0.957,0.653,0.000,0.957,0.043,0.001,0.000,0.000
lathipuclis,1,NAME-M,0.993,0.653,0.000,0.006,0.993,0.002,0.000,0.000
latinal,1,NAME-F,0.994,0.653,0.000,0.994,0.006,0.000,0.000,0.000
latinas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
latinial,3,NAME-F,0.996,0.653,0.000,0.996,0.004,0.000,0.000,0.000
latithe,1,OTHER,0.991,0.653,0.000,0.000,0.009,0.991,0.000,0.000
latithes,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
laturusitianinzatanin,1,NAME-M,0.973,0.653,0.000,0.007,0.973,0.020,0.000,0.000
lau,1,NAME-M,0.993,0.653,0.000,0.007,0.993,0.000,0.000,0.000
laucane,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
lauchumasas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lauchume,2,NAME-M,0.976,0.653,0.000,0.002,0.976,0.023,0.000,0.000
lauchumes,1,NAME-M,0.993,0.653,0.000,0.000,0.993,0.007,0.000,0.000
laucinial,1,NAME-F,0.994,0.653,0.000,0.994,0.006,0.000,0.000,0.000
lautn,1,NAME-M,0.992,0.653,0.000,0.008,0.992,0.000,0.000,0.000
lautnithas,3,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lautnithasa,1,NAME-M,0.981,0.653,0.000,0.019,0.981,0.000,0.000,0.000
lav,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lave,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.000,0.000,0.001
lavtni,2,NAME-M,0.952,0.653,0.000,0.048,0.952,0.000,0.000,0.000
lazial,1,NAME-F,0.970,0.653,0.000,0.970,0.030,0.000,0.000,0.000
laziveianes,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lechtumuza,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lecin,1,NAME-M,0.995,0.653,0.000,0.004,0.995,0.001,0.000,0.000
lecne,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
lecnesa,3,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
leializa,1,NAME-M,0.987,0.653,0.000,0.013,0.987,0.000,0.000,0.000
leinial,1,NAME-F,0.995,0.653,0.000,0.995,0.004,0.000,0.000,0.000
lemiveneluszucenas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lenial,1,NAME-F,0.940,0.653,0.000,0.940,0.055,0.005,0.000,0.000
lenties,1,NAME-M,0.981,0.653,0.000,0.000,0.981,0.019,0.000,0.000
lernial,1,NAME-F,0.982,0.653,0.000,0.982,0.018,0.000,0.000,0.000
lescul,1,NAME-M,0.987,0.653,0.000,0.013,0.987,0.000,0.000,0.000
letheusa,1,NAME-M,0.997,0.653,0.000,0.003,0.997,0.000,0.000,0.000
lethias,1,NAME-M,0.996,0.653,0.000,0.001,0.996,0.003,0.000,0.000
lethim,1,OTHER,0.989,0.653,0.000,0.001,0.011,0.989,0.000,0.000
lethiu,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
lethiusa,1,NAME-M,0.995,0.653,0.000,0.003,0.995,0.002,0.000,0.000
letnitha,1,NAME-M,0.960,0.653,0.000,0.040,0.960,0.000,0.000,0.000
letun,1,OTHER,0.995,0.653,0.000,0.000,0.005,0.995,0.000,0.000
leviach,1,OTHER,0.976,0.653,0.000,0.002,0.022,0.976,0.000,0.000
lias,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
lies,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lithuna,1,NAME-M,0.972,0.653,0.000,0.028,0.972,0.000,0.000,0.000
llasaial,1,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
loirixx,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
lpan,1,OTHER,0.996,0.653,0.000,0.000,0.004,0.996,0.000,0.000
lsech,1,OTHER,0.960,0.653,0.000,0.003,0.037,0.960,0.000,0.000
ltaiial,1,NAME-F,0.995,0.653,0.000,0.995,0.005,0.000,0.000,0.000
luchumnial,1,NAME-F,0.950,0.653,0.000,0.950,0.050,0.000,0.000,0.000
lucies,1,NAME-M,0.990,0.653,0.000,0.000,0.990,0.010,0.000,0.000
lucinas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
luesnas,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lulias,1,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
lumscial,1,NAME-F,0.909,0.653,0.000,0.909,0.090,0.000,0.000,0.000
lur,1,NAME-M,0.984,0.653,0.000,0.005,0.984,0.000,0.001,0.011
lurmicla,1,NAME-M,0.997,0.653,0.000,0.002,0.997,0.000,0.001,0.000
lurs,1,OTHER,0.962,0.653,0.000,0.000,0.038,0.962,0.000,0.000
lusao,1,NAME-M,0.997,0.653,0.000,0.003,0.997,0.000,0.000,0.000
luscnas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lusnial,1,NAME-F,0.936,0.653,0.000,0.936,0.064,0.000,0.000,0.000
lut,1,NAME-M,0.997,0.653,0.000,0.003,0.997,0.000,0.000,0.000
luthcva,1,NAME-M,0.996,0.653,0.000,0.003,0.996,0.001,0.000,0.000
luths,1,NAME-M,0.907,0.653,0.000,0.000,0.907,0.000,0.008,0.085
luthumas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
lutnitha,1,OTHER,0.904,0.653,0.000,0.021,0.075,0.904,0.000,0.000
luvcies,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
luvcinial,1,NAME-F,0.948,0.653,0.000,0.948,0.050,0.002,0.000,0.000
lvlvllvto,1,OTHER,0.999,0.653,0.000,0.000,0.001,0.999,0.000,0.000
lvlvllvtoi,1,OTHER,0.990,0.653,0.000,0.007,0.002,0.990,0.000,0.000
lvr,1,OTHER,0.969,0.653,0.000,0.001,0.030,0.969,0.000,0.000
lvrmit,1,OTHER,0.921,0.653,0.000,0.011,0.067,0.921,0.000,0.000
lxchna,1,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
macanial,1,NAME-F,0.999,0.653,0.000,0.999,0.001,0.001,0.000,0.000
maceries,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
mach,1,VERB,0.921,0.653,0.000,0.002,0.075,0.001,0.001,0.921
machs,1,VERB,0.992,0.653,0.000,0.000,0.007,0.000,0.000,0.992
macias,1,NAME-M,0.996,0.653,0.000,0.004,0.996,0.000,0.000,0.000
macstrna,1,OTHER,0.998,0.653,0.000,0.000,0.001,0.998,0.000,0.000
macutes,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
madicioeco,1,OTHER,0.999,0.653,0.000,0.000,0.001,0.999,0.000,0.000
maias,1,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
malana,2,NAME-M,0.990,0.653,0.000,0.010,0.990,0.000,0.000,0.000
malavisch,3,OTHER,0.932,0.653,0.000,0.009,0.059,0.932,0.000,0.000
mama,2,OTHER,0.942,0.653,0.000,0.025,0.033,0.942,0.000,0.000
mamamarcespuriiazas,1,NAME-M,0.948,0.653,0.000,0.000,0.948,0.052,0.000,0.000
manim,3,VERB,1.000,0.653,0.000,0.000,0.000,0.000,0.000,1.000
mantheate,1,OTHER,0.997,0.653,0.000,0.000,0.003,0.997,0.000,0.000
marcnas,2,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
marcneialisa,1,NAME-F,0.993,0.653,0.000,0.993,0.007,0.000,0.000,0.000
marcnial,5,NAME-F,0.992,0.653,0.000,0.992,0.008,0.000,0.000,0.000
marcnialisa,1,NAME-F,0.990,0.653,0.000,0.990,0.010,0.000,0.000,0.000
marcniesa,2,NAME-M,0.999,0.653,0.000,0.001,0.999,0.000,0.000,0.000
maricane,1,NAME-M,0.998,0.653,0.000,0.002,0.998,0.000,0.000,0.000
marifrii,1,OTHER,0.971,0.653,0.000,0.006,0.023,0.971,0.000,0.000
marks,1,NAME-M,0.971,0.653,0.000,0.009,0.971,0.018,0.001,0.000
maronatv,1,OTHER,0.999,0.653,0.000,0.000,0.001,0.999,0.000,0.000
marthucle,1,OTHER,0.971,0.653,0.000,0.000,0.029,0.971,0.000,0.000
marutial,1,NAME-F,0.981,0.653,0.000,0.981,0.007,0.012,0.000,0.000
marzial,1,NAME-F,0.994,0.653,0.000,0.994,0.003,0.004,0.000,0.000
masn,1,NAME-M,0.992,0.653,0.000,0.004,0.992,0.004,0.000,0.000
masuial,1,NAME-F,0.996,0.653,0.000,0.996,0.002,0.001,0.000,0.000
matausnial,1,NAME-F,0.993,0.653,0.000,0.993,0.007,0.000,0.000,0.000
mathl,1,OTHER,0.950,0.653,0.000,0.019,0.030,0.950,0.000,0.000
matnie,1,OTHER,0.945,0.653,0.000,0.000,0.055,0.945,0.000,0.000
matruialisa,1,NAME-F,0.960,0.653,0.000,0.960,0.026,0.014,0.000,0.000
matvesi,1,NAME-M,0.990,0.653,0.000,0.010,0.990,0.000,0.000,0.000
mazeche,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
mecests,1,NAME-M,0.906,0.653,0.000,0.004,0.906,0.089,0.001,0.000
meiani,1,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
meista,1,OTHER,0.995,0.653,0.000,0.001,0.004,0.995,0.000,0.000
melchrial,1,NAME-F,0.993,0.653,0.000,0.993,0.004,0.002,0.000,0.000
melerpanta,1,OTHER,1.000,0.653,0.000,0.000,0.000,1.000,0.000,0.000
meletem,1,OTHER,0.999,0.653,0.000,0.000,0.001,0.999,0.000,0.000
melneail,1,NAME-F,0.939,0.653,0.000,0.939,0.018,0.043,0.000,0.000
melutnial,1,NAME-F,0.996,0.653,0.000,0.996,0.004,0.000,0.000,0.000
memas,1,OTHER,0.909,0.653,0.000,0.000,0.090,0.909,0.001,0.000
meminiies,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
memnun,1,OTHER,0.998,0.653,0.000,0.000,0.002,0.998,0.000,0.000
menamecanacliviniatrecteveluslarthu,1,NAME-M,0.984,0.653,0.000,0.003,0.984,0.013,0.000,0.000
menra,1,NAME-M,0.916,0.653,0.000,0.042,0.916,0.020,0.022,0.000
menucithu,1,OTHER,0.981,0.653,0.000,0.000,0.019,0.981,0.000,0.000
menznial,1,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
merta,1,OTHER,0.990,0.653,0.000,0.000,0.009,0.990,0.000,0.000
mesin,1,OTHER,0.994,0.653,0.000,0.001,0.005,0.994,0.000,0.000
metelial,1,NAME-F,0.988,0.653,0.000,0.988,0.007,0.005,0.000,0.000
metitieial,1,NAME-F,0.995,0.653,0.000,0.995,0.005,0.000,0.000,0.000
metl,1,OTHER,0.999,0.653,0.000,0.001,0.001,0.999,0.000,0.000
metlialc,1,NAME-F,0.998,0.653,0.000,0.998,0.002,0.000,0.000,0.000
metur,1,OTHER,0.999,0.653,0.000,0.000,0.001,0.999,0.000,0.000
mevntie,1,OTHER,0.988,0.653,0.000,0.000,0.012,0.988,0.000,0.000
miachumuluanich,1,OTHER,0.995,0.653,0.000,0.000,0.005,0.995,0.000,0.000
mianies,1,NAME-M,0.973,0.653,0.000,0.000,0.973,0.027,0.000,0.000
miaran,1,OTHER,0.974,0.653,0.000,0.000,0.026,0.974,0.000,0.000
miaranthiaramaitelas,1,NAME-M,0.975,0.653,0.000,0.000,0.975,0.025,0.000,0.000
miarathialezichuche,1,OTHER,0.984,0.653,0.000,0.000,0.016,0.984,0.000,0.000
miarntha,1,OTHER,0.940,0.653,0.000,0.001,0.059,0.940,0.000,0.000
miatiialplavtanas,1,NAME-M,0.997,0.653,0.000,0.000,0.997,0.003,0.000,0.000
miavilesatkanas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
miavilesfusunas,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.001,0.000,0.000
micanias,1,NAME-M,0.988,0.653,0.000,0.000,0.988,0.012,0.000,0.000
micos,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.001,0.000,0.000
miculnaial,1,NAME-F,0.968,0.653,0.000,0.968,0.031,0.001,0.000,0.000
mienasmarceslesnaisena,1,NAME-M,0.913,0.653,0.000,0.000,0.913,0.087,0.000,0.000
mifaltus,1,NAME-M,0.959,0.653,0.000,0.000,0.959,0.041,0.000,0.000
mifasenatatastulalus,1,NAME-M,0.959,0.653,0.000,0.000,0.959,0.041,0.000,0.000
mifurtinas,1,NAME-M,0.977,0.653,0.000,0.000,0.977,0.023,0.000,0.000
miiapes,1,NAME-M,0.972,0.653,0.000,0.000,0.972,0.028,0.000,0.000
mikrekeia,1,OTHER,0.997,0.653,0.000,0.000,0.003,0.997,0.000,0.000
milalausa,1,NAME-M,0.994,0.653,0.000,0.003,0.994,0.003,0.000,0.000
milar,1,OTHER,0.920,0.653,0.000,0.000,0.080,0.920,0.000,0.000
milarissanesnas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
milarthetruscastravilanas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
milarthia,1,NAME-M,0.921,0.653,0.000,0.028,0.921,0.051,0.000,0.000
milarthiasrupinas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
milarthiastinias,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.001,0.000,0.000
milarthurustarchvetenas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
milarthus,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.001,0.000,0.000
milarusvlartialitunumtaschu,1,NAME-M,0.949,0.653,0.000,0.000,0.949,0.050,0.000,0.000
milathithalus,1,NAME-M,0.974,0.653,0.000,0.000,0.974,0.026,0.000,0.000
milauciesmezenties,1,NAME-M,0.979,0.653,0.000,0.000,0.979,0.021,0.000,0.000
milithunas,1,NAME-M,1.000,0.653,0.000,0.000,1.000,0.000,0.000,0.000
mimalenalarthiapurufenas,1,NAME-M,0.997,0.653,0.000,0.000,0.997,0.003,0.000,0.000
mimamarcesvetusal,1,NAME-M,0.981,0.653,0.000,0.002,0.981,0.017,0.000,0.000
minemeties,1,NAME-M,0.940,0.653,0.000,0.000,0.940,0.060,0.000,0.000
minemuluveneavileacvilnas,1,NAME-M,0.988,0.653,0.000,0.000,0.988,0.012,0.000,0.000
minemulvunukelarisnumenas,1,NAME-M,0.961,0.653,0.000,0.000,0.961,0.039,0.000,0.000
miniflakunaievenel,1,NAME-M,0.934,0.653,0.000,0.000,0.934,0.066,0.000,0.000
minikaisiethannursiannatmulvanice,1,OTHER,0.979,0.653,0.000,0.000,0.021,0.979,0.000,0.000
minilarekes,1,NAME-M,0.939,0.653,0.000,0.000,0.939,0.061,0.000,0.000
minimuluvanicemamarceapuniievenala,1,NAME-M,0.988,0.653,0.000,0.000,0.988,0.012,0.000,0.000
minispuriazamuluvanikekuritianas,1,NAME-M,0.962,0.653,0.000,0.000,0.962,0.038,0.000,0.000
miniurthanikearanthur,1,OTHER,0.944,0.653,0.000,0.000,0.056,0.944,0.000,0.000
minthinal,1,NAME-F,0.902,0.653,0.000,0.902,0.090,0.008,0.000,0.000
minvcii,1,OTHER,0.932,0.653,0.000,0.000,0.068,0.932,0.000,0.000
mipaparnies,1,NAME-M,0.998,0.653,0.000,0.000,0.998,0.002,0.000,0.000
mipeith,1,OTHER,0.934,0.653,0.000,0.000,0.066,0.934,0.000,0.000
mipumpusthurmepnas,1,NAME-M,0.969,0.653,0.000,0.000,0.969,0.030,0.000,0.000
mipupaisthinakaranas,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.001,0.000,0.000
miqutumkarkanas,1,NAME-M,0.988,0.653,0.000,0.000,0.988,0.012,0.000,0.000
miracuthus,1,NAME-M,0.979,0.653,0.000,0.000,0.979,0.021,0.000,0.000
mirafuvethuskasaliennaia,1,NAME-M,0.998,0.653,0.000,0.001,0.998,0.001,0.000,0.000
miravunthualienas,1,NAME-M,0.985,0.653,0.000,0.000,0.985,0.015,0.000,0.000
mircvrios,1,NAME-M,0.995,0.653,0.000,0.000,0.995,0.005,0.000,0.000
misataiiesaveleacasce,1,NAME-M,0.969,0.653,0.000,0.000,0.969,0.031,0.000,0.000
misatufurtunianianas,1,NAME-M,0.989,0.653,0.000,0.000,0.989,0.011,0.000,0.000
misfuriasthinamla,1,NAME-M,0.995,0.653,0.000,0.005,0.995,0.000,0.000,0.000
misuthilarthiala,1,NAME-M,0.942,0.653,0.000,0.056,0.942,0.002,0.000,0.000
mitetanas,1,NAME-M,0.987,0.653,0.000,0.000,0.987,0.013,0.000,0.000
mitiiurskathuniiasul,1,OTHER,0.935,0.653,0.000,0.005,0.060,0.935,0.001,0.000
mitulalu,1,OTHER,0.907,0.653,0.000,0.000,0.093,0.907,0.000,0.000
mitular,1,OTHER,0.960,0.653,0.000,0.000,0.040,0.960,0.000,0.000
mitvleii,1,NAME-M,0.994,0.653,0.000,0.000,0.994,0.005,0.000,0.000
miuknana,1,OTHER,0.973,0.653,0.000,0.000,0.027,0.973,0.000,0.000
miuselesfeisus,1,NAME-M,0.952,0.653,0.000,0.000,0.952,0.048,0.000,0.000
miuves,1,NAME-M,0.980,0.653,0.000,0.000,0.980,0.020,0.000,0.000
mivefartiianaia,1,NAME-M,0.923,0.653,0.000,0.038,0.923,0.039,0.000,0.000
mivelelthuskacrifunumesiesiputeskraitilesthisputes,1,NAME-M,0.997,0.653,0.000,0.000,0.997,0.003,0.000,0.000
mivelthurusfapal,1,NAME-M,0.955,0.653,0.000,0.004,0.955,0.040,0.000,0.000
mivelthurusmuielnas,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.001,0.000,0.000
mivenelussithurnas,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.001,0.000,0.000
miverkantus,1,NAME-M,0.995,0.653,0.000,0.000,0.995,0.005,0.000,0.000
mivetiestvelasnas,1,NAME-M,0.999,0.653,0.000,0.000,0.999,0.001,0.000,0.000
mizraies,1,NAME-M,0.919,0.653,0.000,0.000,0.919,0.081,0.000,0.000
mlach,10,VERB,0.973,0.653,0.000,0.004,0.016,0.000,0.006,0.973
mlacuch,1,OTHER,0.997,0.653,0.000,0.000,0.003,0.997,0.000,0.000
mlakas,7,NAME-M,0.972,0.653,0.000,0.000,0.972,0.000,0.000,0.028
mlakasi,2,NAME-M,0.969,0.653,0.000,0.030,0.969,0.001,0.000,0.000
mlax,1,NAME-M,0.989,0.653,0.000,0.007,0.989,0.002,0.001,0.001
mluluvanice,1,VERB,0.991,0.653,0.000,0.000,0.009,0.000,0.000,0.991
mnial,1,NAME-F,0.997,0.653,0.000,0.997,0.002,0.001,0.000,0.000
msatruesurcunusa,1,NAME-M,0.995,0.653,0.000,0.003,0.995,0.002,0.000,0.000
msne,1,OTHER,0.931,0.653,0.000,0.000,0.069,0.931,0.000,0.000
muca,1,OTHER,0.974,0.653,0.000,0.000,0.026,0.974,0.000,0.000
mul,1,OTHER,0.994,0.653,0.000,0.000,0.005,0.994,0.000,0.000
mulath,1,VERB,0.999,0.653,0.000,0.000,0.001,0.000,0.000,0.999
mulauc,1,VERB,0.997,0.653,0.000,0.000,0.003,0.000,0.000,0.997
mulnanes,1,NAME-M,0.950,0.653,0.000,0.000,0.950,0.050,0.000,0.000
mulsunas,1,NAME-M,0.918,0.653,0.000,0.000,0.918,0.082,0.000,0.000
