word,freq,pred_class,score,margin,second_class
remzna,2,NAME-M,0.688280,0.529434,NAME-F
tence,2,VERB,0.702540,0.528164,NAME-M
velch,4,NAME-M,0.658441,0.527785,NAME-F
larce,7,NAME-M,0.640047,0.520967,NAME-F
seiantial,3,NAME-M,0.657435,0.514621,NAME-F
ancarni,2,NAME-M,0.635518,0.510564,NAME-F
atial,3,NAME-M,0.675054,0.510492,NAME-F
sent,2,NAME-M,0.636946,0.510382,NAME-F
varna,2,NAME-M,0.665965,0.510012,NAME-F
serturu,2,NAME-M,0.666317,0.509788,NAME-F
caule,2,NAME-M,0.668182,0.500536,NAME-F
laro,2,NAME-M,0.686631,0.500303,NAME-F
velarnies,2,NAME-M,0.642742,0.486767,NAME-F
srenchve,6,VERB,0.627920,0.479925,NAME-M
clanc,2,NAME-M,0.617268,0.479768,VERB
umranal,2,NAME-M,0.613806,0.477079,VERB
clan,22,NAME-M,0.630459,0.476691,VERB
zilcti,2,NAME-M,0.647495,0.476069,NAME-F
thu,6,VERB,0.656132,0.472860,NAME-M
velsial,3,NAME-M,0.637459,0.471772,NAME-F
tit,4,NAME-M,0.642997,0.471178,NAME-F
fania,4,NAME-M,0.657576,0.470873,NAME-F
lari,2,NAME-M,0.643141,0.466176,NAME-F
capsna,3,NAME-M,0.671443,0.463865,NAME-F
viliasa,2,NAME-M,0.628866,0.463600,NAME-F
latithe,2,NAME-M,0.636859,0.460645,NAME-F
nat,3,NAME-M,0.622924,0.460149,VERB
zathrumsne,2,VERB,0.629549,0.451133,NAME-M
cletram,6,VERB,0.613876,0.450040,FUNC
eim,4,VERB,0.610828,0.447761,NAME-M
velimnas,2,NAME-M,0.618316,0.444176,NAME-F
suthithi,2,NAME-M,0.588363,0.440860,VERB
larthia,9,NAME-M,0.585530,0.436326,NAME-F
petru,2,NAME-M,0.583695,0.433885,VERB
zal,6,VERB,0.622120,0.431904,NAME-M
latinial,3,NAME-M,0.613015,0.430339,NAME-F
zilci,3,NAME-M,0.629609,0.426473,NAME-F
clenar,3,NAME-M,0.639855,0.424671,VERB
arth,3,NAME-M,0.603853,0.420965,NAME-F
marcnal,2,NAME-M,0.613755,0.420203,FUNC
petrual,3,NAME-M,0.654181,0.419952,NAME-F
cainal,6,NAME-M,0.619457,0.415062,NAME-F
hathrthi,2,VERB,0.602853,0.412609,NAME-M
mulach,2,VERB,0.613628,0.410411,NAME-M
rezu,4,NAME-M,0.651377,0.402676,NAME-F
nei,2,NAME-M,0.640609,0.401802,NAME-F
hup,2,NAME-M,0.645623,0.399759,NAME-F
lars,2,NAME-M,0.564197,0.397715,NAME-F
sal,5,NAME-M,0.553106,0.393102,FUNC
zathrumis,2,VERB,0.563487,0.389560,NAME-M
pes,3,NAME-M,0.579602,0.388636,VERB
esis,2,VERB,0.581284,0.387187,NAME-M
eiser,5,VERB,0.553673,0.385316,NAME-M
arntnal,2,NAME-M,0.619297,0.382474,NAME-F
enas,17,VERB,0.602366,0.372793,NAME-M
huthis,2,VERB,0.582644,0.372756,NAME-M
achuni,3,NAME-M,0.576930,0.370017,NAME-F
raf,9,NAME-M,0.585206,0.369799,NAME-F
velthurna,4,NAME-M,0.578058,0.369338,NAME-F
luthti,2,VERB,0.571107,0.368832,FUNC
ancari,2,NAME-M,0.623610,0.368731,NAME-F
papas,2,NAME-M,0.583638,0.368101,NAME-F
crapst,2,VERB,0.537247,0.367615,FUNC
sval,2,NAME-M,0.610420,0.367151,VERB
sacnicstres,3,VERB,0.593700,0.365585,NAME-M
zilath,4,NAME-M,0.616741,0.359065,VERB
ias,2,NAME-M,0.551738,0.356787,VERB
thezince,2,VERB,0.572185,0.355059,NAME-M
ale,6,NAME-M,0.529921,0.354486,NAME-F
rapa,3,VERB,0.548161,0.354376,NAME-M
cemnac,3,VERB,0.549149,0.351898,NAME-M
peithi,2,NAME-M,0.608497,0.351444,NAME-F
estrei,3,VERB,0.533109,0.349778,NAME-M
surtes,2,NAME-M,0.606384,0.349210,NAME-F
sethrnei,2,NAME-M,0.565029,0.348815,NAME-F
cafate,2,NAME-M,0.603222,0.348263,NAME-F
veilia,2,NAME-M,0.564686,0.345224,NAME-F
lecin,3,VERB,0.534561,0.344954,NAME-M
velua,2,NAME-M,0.572233,0.343461,NAME-F
vacltnam,2,VERB,0.560559,0.342406,NAME-M
tul,15,VERB,0.562883,0.341914,NAME-M
zec,4,VERB,0.527718,0.338038,FUNC
petruni,2,NAME-M,0.571305,0.336369,NAME-F
scanin,3,VERB,0.518406,0.336179,FUNC
cisum,10,VERB,0.545945,0.333238,NAME-M
rach,4,VERB,0.552109,0.332796,NAME-M
catni,2,NAME-M,0.570152,0.331891,VERB
seus,2,VERB,0.494055,0.331325,FUNC
sna,2,VERB,0.579658,0.331300,NAME-M
lar,4,NAME-M,0.552755,0.330944,NAME-F
raufi,2,NAME-M,0.592307,0.330337,NAME-F
sana,22,NAME-M,0.574544,0.327987,NAME-F
thansur,2,VERB,0.554140,0.326926,NAME-M
hanthin,2,VERB,0.529277,0.323609,NAME-M
than,4,NAME-M,0.524052,0.319357,NAME-F
melci,2,NAME-M,0.583194,0.319253,NAME-F
helial,3,NAME-M,0.552977,0.317037,NAME-F
thucht,2,NAME-M,0.555356,0.315757,VERB
seuc,2,VERB,0.510366,0.315323,THEO
sentinates,2,NAME-M,0.557766,0.312659,NAME-F
lavtni,2,NAME-M,0.576442,0.312538,VERB
acil,12,VERB,0.532242,0.310140,NAME-M
lautn,6,NAME-M,0.478705,0.306128,VERB
srencve,2,VERB,0.529714,0.306031,FUNC
rafi,9,NAME-M,0.597107,0.303493,NAME-F
sans,2,VERB,0.537824,0.300257,NAME-M
thans,3,VERB,0.539940,0.295784,NAME-M
tetinas,2,NAME-M,0.602176,0.295648,NAME-F
sciria,2,NAME-M,0.574699,0.294644,NAME-F
