titulus,rix_et,dating_latin,has_inscriptio,in_corpus_ciep
20280,,II saec. a.Ch.n.,1,0
20281,,,1,0
20282,,,1,0
20283,,,1,0
20284,,,1,0
20285,,,0,1
20286,,,1,0
20287,,,1,1
20288,,,1,0
20289,Ad2.63,,1,0
20290,Ad2.71,,1,0
20291,,,0,0
20292,,,0,0
20293,,,1,0
20294,,,0,0
20295,Ad2.70,,1,0
20296,,,0,0
20297,,,0,0
20298,,medioV saec. a.Ch.n.,0,0
20299,,V saec. a.Ch.n.,0,1
20300,,VI saec. a.Ch.n.,1,0
20301,,medio V saec. a.Ch.n.,1,0
20302,,,0,0
20303,,V saec. a.Ch.n.,1,0
20304,,,0,0
20305,,,1,0
20306,,V saec. a.Ch.n.,0,0
20307,,,1,0
20308,,III saec. a.Ch.n.,1,0
20309,,,1,0
20310,,V saec. a.Ch.n.,1,0
20311,,,1,0
20312,,IV - ineunti III saec. a.Ch.n.,0,0
20313,,,0,0
20314,,V saec. a.Ch.n.,1,0
20315,Ad2.51,III saec. a.Ch.n.,1,0
20316,,,1,0
20317,,,0,0
20318,,II saec. a.Ch.n.,0,0
20319,,,0,0
20320,,IV-III saec. a.Ch.n.,1,1
20321,,medio III saec. a.Ch.n.,0,1
20322,,II saec. a.Ch.n.,0,0
20323,,IV - III saec. a.Ch.n.,1,1
20324,,III saec. a.Ch.n.,0,0
20325,,III saec. a.Ch.n.,0,0
20326,,III saec. a.Ch.n.,1,0
20327,,II saec. a.Ch.n.,0,0
20328,,,0,0
20329,,,1,0
20330,Ad2.38,III saec. a.Ch.n.,1,1
20331,,,1,0
20332,,II saec. a.Ch.n.,0,0
20333,,II saec. a.Ch.n.,0,0
20334,,III-II saec. a.Ch.n.,0,0
20335,,II saec. a.Ch.n.,1,1
20336,,II saec. a.Ch.n.,0,0
20337,,II saec. a.Ch.n.,0,0
20338,,II saec. a.Ch.n.,0,0
20339,,,1,0
20340,,,0,0
20341,,medio IV saec. a.Ch.n.,1,0
20342,,,0,0
20343,,medio III saec. a.Ch.n.,0,0
20344,,medio V saec. a.Ch.n.,1,0
20345,,IV saec. a.Ch.n.,0,0
20346,,IV-II saec. a.Ch.n.,0,0
20347,,V saec. a.Ch.n.,1,0
20348,,,0,0
20349,,V saec. a.Ch.n.,0,0
20350,,exeunti VI saec. a.Ch.n.,1,0
20351,,V saec. a.Ch.n.,1,0
20352,,medio VI saec. a.Ch.n.,1,0
20353,,V saec. a.Ch.n.,1,0
20354,,,1,0
20355,,,0,0
20356,,V saec. a.Ch.n.,0,0
20357,,,0,0
20358,,V saec. a.Ch.n.,0,0
20359,,VI-V saec. a.Ch.n.,0,0
20360,,,0,0
20361,Ad2.66,,1,0
20362,,V saec. a.Ch.n.,0,0
20363,,V saec. a.Ch.n.,0,0
20364,,III saec. a.Ch.n.,1,0
20365,,VI-V saec. a.Ch.n.,0,0
20366,,IV-II saec. a.Ch.n.,0,0
20367,,,0,0
20368,,V saec. a.Ch.n.,1,0
20369,,,1,0
20370,,V saec. a.Ch.n.,1,1
20371,,,1,1
20372,,,0,0
20373,,,1,0
20374,,medio III saec. a.Ch.n.,1,0
20375,,,1,1
20376,,,0,0
20377,,,0,0
20378,,,1,0
20379,,II saec. a.Ch.n.,0,0
20380,,II saec. a.Ch.n.,0,0
20381,,,1,0
20382,,,0,0
20383,,V saec. a.Ch.n.,0,0
20384,Ad2.92,IV - ineunti III saec. a.Ch.n.,1,0
20385,Ad2.80,,1,1
20386,Ad2.94,,1,0
20387,Ad2.93,,1,0
20388,,V saec. a.Ch.n.,0,0
20389,,,1,0
20390,,II saec. a.Ch.n.,0,0
20391,,VI - ineunti V saec. a.Ch.n.,1,0
20392,,,0,0
20393,,II saec. a.Ch.n.,0,0
20394,,,1,0
20395,,,1,0
20396,,,1,0
20397,,,0,0
20398,,,0,0
20399,,,0,0
20400,,,0,0
20401,,,0,0
20402,,III saec. a.Ch.n.,0,0
20403,,III saec. a.Ch.n.,0,0
20404,,,1,0
20405,,medio II saec. a.Ch.n.,0,1
20406,,III saec. a.Ch.n.,0,0
20407,,,1,1
20408,,,1,1
20409,,,1,0
20410,,II saec. a.Ch.n.,0,0
20411,,II saec. a.Ch.n.,1,1
20412,,II saec. a.Ch.n.,1,0
20413,,III saec. a.Ch.n.,0,0
20414,,II saec. a.Ch.n.,0,0
20415,,II saec. a.Ch.n.,0,0
20416,,II saec. a.Ch.n.,0,0
20417,,II saec. a.Ch.n.,0,0
20418,,II saec. a.Ch.n.,0,0
20419,,III - II saec. a.Ch.n.,1,0
20420,,II saec. a.Ch.n.,1,0
20421,,,0,0
20422,,II saec. a.Ch.n.,1,0
