entry,text,flags,shared_with_ciep,containment
1165,au . pulfna . la -- seiantial -,,0,
1166,seχtia},,0,
1167,θa • cainei -< [---] atuni,ocr-fixed,1,0.36
1168,hastia caini-in-,,1,0.83
1169,[ha]stia aniusa,,1,0.92
1171,lθ • ancari <ar>,,0,
1172,lθ > puntna velus,,0,
1173,<h>astia l[a]r[c]nei <v>l t<r>e[p]un iasa,,0,
1174,larθ > peθna i seθresa,,1,0.50
1175,laro peθna . alapusa . velsial,ocr-fixed ocr?,0,
1176,lθ - peθna - aś - titial . scir[e],ocr-fixed,0,
1177,sana - peθnei sciria . tutnasa helial > ----,,0,
1178,sana . peonei . sciria tutnasa,ocr?,0,
1179,larθ - fraucni . atainalisa,,1,0.85
1180,laris . fraucni . velusa > latinialisa,,0,
1181,sana . rematane -,,0,
1182,lθ > fraucni . tutnl i,,1,0.79
1183,aθ > frauni - hapre i tutnal -,,1,0.85
1184,tutnai,,0,
1185,aθ -- tutni . velθurus . veloritial isa,ocr-fixed ocr?,1,0.97
1186,ar i <f>raucni . arnθal - velual,,0,
1187,larθi - fraucnei . cumeresa .,,1,1.00
1188,aθ -- fraucni i rauhe,ocr-fixed,1,0.88
1189,θania . larci . fraucnisa,,1,0.64
1190,laris . sentinate - larcna .,,1,0.86
1191,θania . larcnei - seiesa,,0,
1192,arng- remzna arnθal < <-< -- > - <> cuntnuv/,,0,
1193,ar . sepiesa . ucumznal .,,1,0.94
1194,ar . remzna . nuse . zuχna,,0,
1195,aθ > remzna - zuχnal,,1,1.00
1196,hast i . herini . vent i a . remzanasa,,1,
1497,aθ • vecu • ag • alf,,0,
1498,ae • v<eou • ae • alfna<l>,ocr?,0,
1499,laroi • vecu i alf,ocr?,0,
1500,laroia . vecu i - alfnal,ocr?,1,1.00
1501,alfni • vec- -s,,1,0.56
1502,<a>θ - vecu - vipl<i>a<s>,ocr-fixed ocr?,0,
1503,θa • viplia . vecusa,,0,
1504,θania - viplia i [met]elial,,0,
1505,<θa>n<a> • p<e>iθi [•] vl •,,0,
